"","fpr","tpr"
"1",1,1
"2",0.998965338851526,1
"3",0.997413347128815,1
"4",0.996896016554578,1
"5",0.992240041386446,1
"6",0.991722710812209,1
"7",0.989653388515261,1
"8",0.989136057941024,1
"9",0.988618727366787,1
"10",0.987584066218314,1
"11",0.983445421624418,1
"12",0.981893429901707,1
"13",0.98137609932747,1
"14",0.980858768753233,1
"15",0.979306777030522,1
"16",0.978272115882049,1
"17",0.973616140713916,1
"18",0.973098810139679,1
"19",0.969994826694258,1
"20",0.969477496120021,1
"21",0.968442834971547,1
"22",0.966890843248836,1
"23",0.965338851526125,1
"24",0.964304190377651,1
"25",0.962234868080704,1
"26",0.961717537506467,1
"27",0.960682876357993,1
"28",0.960165545783756,1
"29",0.959130884635282,1
"30",0.958096223486808,1
"31",0.957578892912571,1
"32",0.956544231764097,1
"33",0.95602690118986,1
"34",0.94930160372478,1
"35",0.945162959130885,1
"36",0.944128297982411,1
"37",0.943610967408174,1
"38",0.943093636833937,1
"39",0.9425763062597,1
"40",0.941024314536989,1
"41",0.939989653388515,1
"42",0.937920331091567,1
"43",0.937403000517331,1
"44",0.936885669943094,1
"45",0.936368339368857,1
"46",0.93585100879462,1
"47",0.935333678220383,1
"48",0.934299017071909,1
"49",0.932747025349198,1
"50",0.932229694774961,1
"51",0.931712364200724,1
"52",0.930160372478013,1
"53",0.928608380755303,1
"54",0.927573719606829,1
"55",0.926021727884118,1
"56",0.925504397309881,1
"57",0.924469736161407,1
"58",0.92395240558717,1
"59",0.923435075012933,1
"60",0.922917744438696,1
"61",0.921883083290223,1
"62",0.921365752715986,1
"63",0.919813760993275,1
"64",0.918779099844801,1
"65",0.918261769270564,1
"66",0.916192446973616,1
"67",0.914123124676668,1
"68",0.913605794102431,1
"69",0.913088463528195,1
"70",0.912571132953958,1
"71",0.912053802379721,1
"72",0.911019141231247,1
"73",0.91050181065701,1
"74",0.909984480082773,1
"75",0.908949818934299,1
"76",0.908432488360062,1
"77",0.907915157785825,1
"78",0.907397827211588,1
"79",0.906880496637351,1
"80",0.905845835488877,1
"81",0.90377651319193,1
"82",0.903259182617693,1
"83",0.902224521469219,1
"84",0.901707190894982,1
"85",0.900672529746508,1
"86",0.900155199172271,1
"87",0.899637868598034,1
"88",0.899120538023797,1
"89",0.89860320744956,1
"90",0.898085876875323,1
"91",0.897051215726849,1
"92",0.896533885152613,1
"93",0.895499224004139,1
"94",0.894981893429902,1
"95",0.894464562855665,1
"96",0.893947232281428,1
"97",0.893429901707191,1
"98",0.892395240558717,1
"99",0.89187790998448,1
"100",0.891360579410243,1
"101",0.890843248836006,1
"102",0.890325918261769,1
"103",0.889808587687532,1
"104",0.888773926539058,1
"105",0.888256595964822,1
"106",0.887739265390585,1
"107",0.887221934816348,1
"108",0.886704604242111,1
"109",0.886187273667874,1
"110",0.885669943093637,1
"111",0.883600620796689,1
"112",0.883083290222452,1
"113",0.882565959648215,1
"114",0.882048629073978,1
"115",0.881531298499741,1
"116",0.881013967925504,1
"117",0.880496637351267,1
"118",0.879461976202794,1
"119",0.878944645628557,1
"120",0.87842731505432,1
"121",0.877909984480083,1
"122",0.877392653905846,1
"123",0.876875323331609,1
"124",0.876357992757372,1
"125",0.875840662183135,1
"126",0.875323331608898,1
"127",0.874806001034661,1
"128",0.874288670460424,1
"129",0.873771339886187,1
"130",0.87325400931195,1
"131",0.872736678737713,1
"132",0.872219348163476,1
"133",0.871702017589239,1
"134",0.871184687015003,1
"135",0.870667356440766,1
"136",0.868598034143818,1
"137",0.868080703569581,1
"138",0.867563372995344,1
"139",0.867046042421107,1
"140",0.86652871184687,1
"141",0.866011381272633,1
"142",0.865494050698396,1
"143",0.864976720124159,1
"144",0.864459389549922,1
"145",0.863942058975685,1
"146",0.863424728401448,1
"147",0.862907397827212,1
"148",0.862390067252975,1
"149",0.861872736678738,1
"150",0.861355406104501,1
"151",0.860838075530264,1
"152",0.860320744956027,1
"153",0.85980341438179,1
"154",0.859286083807553,1
"155",0.858768753233316,1
"156",0.858251422659079,1
"157",0.857734092084842,1
"158",0.857216761510605,1
"159",0.856699430936368,1
"160",0.856182100362131,1
"161",0.855664769787895,1
"162",0.855147439213658,1
"163",0.854630108639421,1
"164",0.854112778065184,1
"165",0.853595447490947,1
"166",0.85307811691671,1
"167",0.851526125193999,1
"168",0.851008794619762,1
"169",0.850491464045525,1
"170",0.849974133471288,1
"171",0.849456802897051,1
"172",0.848422141748577,1
"173",0.847387480600103,1
"174",0.846870150025867,1
"175",0.84635281945163,1
"176",0.845835488877393,1
"177",0.845318158303156,1
"178",0.844800827728919,1
"179",0.844283497154682,1
"180",0.843766166580445,1
"181",0.843248836006208,1
"182",0.842731505431971,1
"183",0.842214174857734,1
"184",0.841696844283497,1
"185",0.84117951370926,1
"186",0.840662183135023,1
"187",0.839627521986549,1
"188",0.839110191412312,1
"189",0.838592860838075,1
"190",0.838075530263839,1
"191",0.837558199689602,1
"192",0.837040869115365,1
"193",0.836523538541128,1
"194",0.836006207966891,1
"195",0.835488877392654,1
"196",0.834971546818417,1
"197",0.83445421624418,1
"198",0.833936885669943,1
"199",0.833419555095706,1
"200",0.832902224521469,1
"201",0.832384893947232,1
"202",0.831867563372995,1
"203",0.831350232798758,1
"204",0.830832902224521,1
"205",0.830315571650285,1
"206",0.829798241076048,1
"207",0.829280910501811,1
"208",0.828763579927574,1
"209",0.828246249353337,1
"210",0.8277289187791,1
"211",0.827211588204863,1
"212",0.826694257630626,1
"213",0.826176927056389,1
"214",0.825659596482152,1
"215",0.825142265907915,1
