"","duration","orig_bytes","resp_bytes","orig_ip_bytes","resp_ip_bytes","http"
"182426",0.0582689081239758,6.54821910276237,7.67089483136212,7.02286808608264,7.83082299513532,1
"209079",0.00995033085316809,5.72358510195238,6.20253551718792,6.35262939631957,6.48920493132532,0
"38831",3.77390970329851,3.04452243772342,4.7361984483945,5.74620319054015,6.00635315960173,1
"119787",1.27256531567946,10.2930942447098,9.64186301440364,10.6003279049337,9.94328502241019,0
"110168",2.19722457733622,5.11198778835654,0,5.72358510195238,0,1
"36863",0.00995033085316809,5.82600010738045,7.08590146436561,6.4085287910595,7.25205395185281,0
"73761",0.0769610411361284,6.20657592672493,9.00589589809446,6.66949808985788,9.0505236705223,0
"71904",0.131028262406404,6.16961073249146,9.00380808646717,6.69703424766648,9.05321861620397,0
"88455",1.57897870494939,10.2935005560854,9.64186301440364,10.6006267543656,9.96796357172049,0
"100369",0.22314355131421,5.72031177660741,6.12029741895095,6.4377516497364,6.50876913697168,0
"70894",0.0295588022415444,6.24610676548156,9.00380808646717,6.7428806357919,9.05321861620397,0
"118099",2.6411979653902,4.8283137373023,0,5.46806014113513,0,1
"68228",0.19062035960865,5.72358510195238,8.32457884513685,6.59304453414244,8.39931015075952,0
"88489",1.95160817016995,4.91265488573605,0,5.39362754635236,0,1
"73549",0.0295588022415444,6.16541785423142,9.00380808646717,6.7428806357919,9.04852707581358,0
"73719",0.0295588022415444,6.12686918411419,9.00380808646717,6.67203294546107,9.04852707581358,0
"58140",2.75620524298926,9.9016859305895,6.69084227741856,9.96758847794265,7.65586401761606,1
"71351",0.0198026272961797,6.18208490671663,9.00380808646717,6.65415252018322,9.05321861620397,0
"83234",0.00995033085316809,6.08221891037645,5.97380961186926,6.55961523749324,6.32256523992728,0
"36509",0.00995033085316809,5.73657229747919,6.26149168432104,6.35957386867238,6.53378883793334,0
"73793",0.0295588022415444,6.0913098820777,9.00589589809446,6.65157187358973,9.0505236705223,0
"43644",0.246860077931526,6.61472560020376,7.67832635650689,7.14991683613211,7.83715965000168,1
"73576",0.0676586484738149,6.26909628370626,8.26126815057765,6.65929391968364,8.3243363327069,0
"71266",0.0198026272961797,5.29330482472449,7.40000951716269,6.34738920965601,7.55171221535131,0
"71482",0.0295588022415444,6.19440539110467,9.00491394146713,6.71174039505618,9.05427118632629,0
"33334",0.048790164169432,5.75257263882563,6.2709884318583,6.36818718635049,6.5410299991899,0
"73997",0.0198026272961797,5.63478960316925,8.98494428560868,6.3491389913798,9.02569611981258,0
"209052",0.0198026272961797,6.49828214947643,6.96508034560141,6.94312242281943,7.43307534889858,1
"29497",1.79508725932073,2.63905732961526,5.00394630594546,5.95583736946483,6.0330862217988,1
"84362",0.00995033085316809,5.8406416573734,7.50384074669895,6.41673228251233,7.5923661285198,0
"35458",0.00995033085316809,5.68697535633982,6.04500531403601,6.42162226780652,6.45833828334479,0
"73181",1.40118297361364,6.23048144757848,9.00380808646717,6.73340189183736,9.04852707581358,0
"36595",0.048790164169432,6.11146733950268,6.30991827822652,6.57786135772105,6.57088296233958,0
"70743",0.048790164169432,6.24997524225948,9.00491394146713,6.74523634948436,9.05427118632629,0
"177746",0.113328685307003,6.57088296233958,7.67089483136212,7.03702761468628,7.83082299513532,1
"43765",0.00995033085316809,6.00881318544259,6.17378610390194,6.51471269087253,6.54534966033442,0
"74159",0.0198026272961797,6.08677472691231,9.00380808646717,6.64898455002478,9.05321861620397,0
"72304",0.0295588022415444,6.23832462503951,9.00380808646717,6.73815249459596,9.05321861620397,0
"29750",0.0861776962410524,5.91889385427315,8.20576472523446,6.67959918584438,8.28953948462414,0
"217637",0.2390169004705,4.61512051684126,0,5.05624580534831,0,1
"73065",0.00995033085316809,5.65599181081985,6.19644412779452,6.21060007702465,6.55535689181067,0
"71464",0.0198026272961797,5.6021188208797,8.99218436217301,6.25958146406492,9.03741453682259,0
"36156",0.0582689081239758,5.94017125272043,6.30627528694802,6.47389069635227,6.56807791141198,0
"100108",0.0582689081239758,4.94875989037817,7.48380668766583,6.13339804299665,7.59839932932396,1
"35928",0.00995033085316809,6.00881318544259,10.1883656976552,7.35179986905778,10.2288988417979,0
"36800",0.0295588022415444,5.9427993751267,7.13009851012558,6.47543271670409,7.28961052145117,0
"29678",0.048790164169432,5.77144112313002,6.28226674689601,6.37842618365159,6.54965074223381,0
"167497",0.0953101798043249,3.76120011569356,0,4.93447393313069,0,1
"209169",0.00995033085316809,6.04973345523196,8.91099049465672,6.80239476332431,8.96661138705286,0
"73591",0.0198026272961797,6.21860011969173,9.00380808646717,6.81783057145415,9.04852707581358,0
"83742",0.0392207131532813,5.7268477475872,6.67708346124714,6.44094654063292,6.92165818415113,0
"208444",0.0953101798043249,6.45204895443723,7.66340766489348,7.01211529430638,7.82444593087762,1
"73622",0.00995033085316809,5.48479693349065,6.19644412779452,6.11589212548303,6.49677499018586,0
"99644",0.00995033085316809,6.46302945692067,6.98841318199959,6.86797440897029,7.17011954344963,0
"31199",0.122217632724249,5.72358510195238,6.19847871649231,6.35262939631957,6.48616078894409,0
